epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
160,876.424,0.0476278,0.133881,0.00106506,0.176393,0.368418,0.265949,0.368418,0.845125,0.0549901,0.124874,0.212283,0.0001,1e-05
161,881.244,0.0483524,0.128686,0.000922332,0.192207,0.46085,0.319951,0.46085,0.8815,0.0542303,0.119057,0.197395,0.0001,1e-05
162,886.111,0.0495278,0.133321,0.000924387,0.18358,0.48678,0.344811,0.48678,0.881875,0.0492471,0.114476,0.194339,0.0001,1e-05
163,890.774,0.0526445,0.121836,0.000617213,0.198271,0.444567,0.318918,0.444567,0.84375,0.0512301,0.117637,0.205328,0.0001,1e-05
164,895.271,0.0624739,0.130477,0.00135909,0.220456,0.418951,0.291391,0.418951,0.87025,0.0577284,0.119046,0.200818,0.0001,1e-05
165,899.573,0.0530636,0.136675,0.00097772,0.202151,0.431471,0.306431,0.431471,0.867375,0.0514555,0.11561,0.19727,0.0001,1e-05
166,904.569,0.0508809,0.134051,0.00103758,0.187179,0.45895,0.325921,0.45895,0.8955,0.0461502,0.125597,0.172116,0.0001,1e-05
167,909.479,0.0555071,0.125358,0.00101279,0.198561,0.405682,0.243939,0.405682,0.85425,0.0545695,0.139884,0.228149,0.0001,1e-05
168,914.482,0.0575973,0.140456,0.00102741,0.216559,0.427396,0.289537,0.427396,0.867875,0.0578997,0.119787,0.244998,0.0001,1e-05
169,919.337,0.0561272,0.125682,0.000827277,0.206938,0.439656,0.325467,0.439656,0.877,0.050211,0.113419,0.20323,0.0001,1e-05
170,924.042,0.0603159,0.118726,0.00100446,0.20466,0.465088,0.353105,0.465088,0.86875,0.0507022,0.117769,0.198235,0.0001,1e-05
171,928.866,0.053984,0.130803,0.00118585,0.19693,0.482748,0.346327,0.482748,0.820875,0.0670234,0.115599,0.24374,0.0001,1e-05
172,933.551,0.0594146,0.127091,0.000850291,0.209648,0.496091,0.329413,0.496091,0.82325,0.0681646,0.111865,0.276728,0.0001,1e-05
173,937.784,0.0740841,0.13112,0.000974319,0.258758,0.498211,0.360447,0.498211,0.861625,0.0587805,0.106855,0.238401,0.0001,1e-05
174,942.752,0.0597868,0.127473,0.00116711,0.231724,0.453332,0.276249,0.453332,0.7635,0.0698962,0.157718,0.267925,0.0001,1e-05
175,947.531,0.0585429,0.118455,0.000945087,0.253342,0.471879,0.330404,0.471879,0.8565,0.0627989,0.111752,0.256292,0.0001,1e-05
176,952.368,0.0690955,0.119994,0.00124321,0.231666,0.492373,0.365069,0.492373,0.8545,0.0526939,0.105722,0.201063,0.0001,1e-05
177,957.318,0.0580775,0.11509,0.00136147,0.18891,0.475904,0.328165,0.475904,0.803625,0.0715262,0.10618,0.294948,0.0001,1e-05
