source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b150,21,704.465,0.086306,0.154309,0.00120965,0.000348816,0.330702,0.441845,0.241793,0.322917,0.413333,0.0933798,0.149187,0.372109,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,22,739.187,0.0960154,0.134392,0.00119634,0.000340989,0.353953,0.586655,0.281978,0.75,0.4,0.0969819,0.123245,0.387707,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,23,775.114,0.100363,0.116096,0.00104405,0.000304932,0.379979,0.798446,0.440698,0.7,0.653333,0.0871165,0.111126,0.393484,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,24,809.138,0.0997,0.0965811,0.000848825,0.000267454,0.370746,0.851363,0.408864,0.826087,0.76,0.126103,0.077479,0.492025,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,25,841.889,0.0973168,0.100928,0.000773324,0.000261837,0.382125,0.773712,0.362313,0.782609,0.72,0.100155,0.0967424,0.402048,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,26,873.363,0.0982263,0.0963931,0.000813901,0.000273509,0.377564,0.730562,0.409098,0.589474,0.746667,0.0977302,0.093289,0.409542,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,27,905.936,0.104562,0.0789597,0.000753386,0.000261954,0.407069,0.740334,0.383412,0.703704,0.76,0.100745,0.0708639,0.469889,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,28,938.515,0.101245,0.0620271,0.000761323,0.000264873,0.391166,0.868792,0.46777,0.810127,0.853333,0.104867,0.0471127,0.452128,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,29,972.844,0.102505,0.0591644,0.00080959,0.00027803,0.415441,0.87792,0.460964,0.775,0.826667,0.12177,0.0546191,0.473827,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,30,1004.68,0.102045,0.0609366,0.000881274,0.000299084,0.415204,0.895265,0.548352,0.783133,0.866667,0.104252,0.0539795,0.422844,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,31,1039.25,0.104073,0.0581861,0.000710412,0.000268231,0.413829,0.934573,0.573856,0.842105,0.853333,0.0936972,0.0332924,0.404464,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,32,1073.93,0.101774,0.0502604,0.000610527,0.000241758,0.417025,0.90933,0.535008,0.875,0.84,0.0979479,0.0416142,0.422172,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,33,1106.47,0.103757,0.0470293,0.00056814,0.00022574,0.418014,0.929546,0.585599,0.915493,0.866667,0.0883918,0.0452969,0.397191,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,34,1141.39,0.104484,0.042115,0.000585035,0.00022794,0.419568,0.881501,0.503218,0.851351,0.84,0.109475,0.0303104,0.445011,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,35,1174.88,0.0951948,0.036719,0.000614219,0.000233808,0.394446,0.915707,0.531983,0.913043,0.84,0.114,0.0304412,0.435121,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,36,1208.01,0.102796,0.0463034,0.000555581,0.000222879,0.418323,0.834673,0.431846,0.865672,0.773333,0.109197,0.0481813,0.477649,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,37,1242.12,0.0972504,0.0408038,0.000506547,0.000209511,0.389123,0.871546,0.420409,0.84507,0.8,0.114299,0.0553147,0.492726,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,38,1275.89,0.106925,0.0459226,0.000543212,0.000224384,0.429115,0.917426,0.492055,0.901408,0.853333,0.110695,0.0339855,0.503624,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,39,1311.26,0.0962752,0.0373662,0.000611694,0.000244748,0.400129,0.901823,0.455193,0.913043,0.84,0.121078,0.0321134,0.51187,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,40,1346.3,0.0970178,0.034514,0.000604335,0.000242912,0.40745,0.931873,0.510764,0.917808,0.893333,0.105763,0.0231262,0.47838,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,41,1378.79,0.0990396,0.0344648,0.000603031,0.000246197,0.412685,0.941752,0.616784,0.96875,0.826667,0.0871771,0.0419747,0.365338,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,42,1414.6,0.0970097,0.0312495,0.000564001,0.000232599,0.402971,0.94,0.566961,0.918919,0.906667,0.0982335,0.0263634,0.412401,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,43,1448.89,0.0922936,0.0258966,0.000568566,0.00023133,0.397663,0.943654,0.423955,0.957143,0.893333,0.100483,0.0462072,0.514465,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,44,1481.98,0.0965023,0.0248649,0.000505137,0.000212746,0.40115,0.938079,0.577449,0.930556,0.893333,0.0928635,0.0329587,0.410777,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,45,1514.09,0.100862,0.032873,0.000518308,0.000222852,0.428378,0.925626,0.549128,0.914286,0.853333,0.0872121,0.0518376,0.388501,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,46,1547.42,0.100114,0.0294312,0.000484924,0.000217736,0.420692,0.943405,0.516834,0.886076,0.933333,0.0976839,0.0373068,0.4413,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,47,1579.63,0.0921518,0.0342742,0.000502284,0.000220883,0.386803,0.944044,0.547437,0.931507,0.906667,0.102432,0.0273138,0.448161,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,48,1613.31,0.0983594,0.0285932,0.000500292,0.000229261,0.402045,0.922488,0.518936,0.902778,0.866667,0.0995597,0.036765,0.424552,0.0001,1e-05
_2d2_1d6_nm20_a10_b150,49,1646.22,0.0955355,0.0287828,0.000482427,0.000222835,0.412967,0.932125,0.551798,0.931507,0.906667,0.0980199,0.0341473,0.40726,0.0001,1e-05
