epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
141,455.046,0.0462185,0.202565,0.000254333,0.219722,0.0893846,0.0633079,0.0893846,0.806875,0.0408563,0.202114,0.189967,0.0001,1e-05
142,458.309,0.0368044,0.2016,0.000250765,0.162278,0.0967759,0.0653316,0.0967759,0.846875,0.0391371,0.201608,0.175453,0.0001,1e-05
143,461.569,0.036486,0.202448,0.000248162,0.147227,0.0954329,0.0528421,0.0954329,0.740125,0.0599971,0.203524,0.266986,0.0001,1e-05
144,464.884,0.0413821,0.206523,0.000246603,0.183509,0.122097,0.0596932,0.122097,0.732875,0.0574308,0.204351,0.281074,0.0001,1e-05
145,468.063,0.0369985,0.201789,0.00024682,0.156953,0.109167,0.077199,0.109167,0.860875,0.0332566,0.204202,0.151478,0.0001,1e-05
146,471.257,0.0389828,0.20145,0.000241777,0.151664,0.104899,0.0801798,0.104899,0.883625,0.0323299,0.201248,0.140489,0.0001,1e-05
147,474.336,0.0385803,0.201459,0.000266049,0.167097,0.0991536,0.0686688,0.0991536,0.813875,0.0562124,0.205888,0.222419,0.0001,1e-05
148,477.582,0.0419972,0.206087,0.000259748,0.165813,0.0874076,0.0694179,0.0874076,0.852875,0.0395022,0.204452,0.167905,0.0001,1e-05
149,480.847,0.0336778,0.204204,0.0002534,0.133481,0.0981508,0.0822603,0.0981508,0.817625,0.0396652,0.207018,0.16612,0.0001,1e-05
150,484.197,0.0428162,0.204022,0.000249467,0.163835,0.108506,0.0896996,0.108506,0.827,0.0393275,0.200942,0.17558,0.0001,1e-05
151,487.429,0.09672,0.203993,0.000249256,0.255616,0.0968981,0.0803945,0.0968981,0.840125,0.0385642,0.198029,0.169223,0.0001,1e-05
152,490.7,0.0350663,0.201777,0.000261013,0.15772,0.091149,0.0663636,0.091149,0.863125,0.0352775,0.197764,0.154526,0.0001,1e-05
153,494.105,0.0355277,0.198336,0.000261124,0.134179,0.0823385,0.0608437,0.0823385,0.822,0.0374155,0.197733,0.166765,0.0001,1e-05
154,497.283,0.036702,0.198904,0.00025634,0.147498,0.0848335,0.0640731,0.0848335,0.8765,0.0356234,0.199724,0.153791,0.0001,1e-05
155,500.545,0.0352867,0.19865,0.000257471,0.139134,0.109179,0.0748912,0.109179,0.858,0.0349381,0.206068,0.146873,0.0001,1e-05
156,503.859,0.0375085,0.20252,0.000245635,0.14147,0.106239,0.0689012,0.106239,0.879625,0.0312912,0.203974,0.142279,0.0001,1e-05
157,507.15,0.0354703,0.198557,0.000247344,0.14611,0.104401,0.0702145,0.104401,0.888375,0.0374872,0.201627,0.150299,0.0001,1e-05
158,510.396,0.035392,0.194239,0.000257875,0.134569,0.109514,0.0673186,0.109514,0.867625,0.0413948,0.199416,0.167546,0.0001,1e-05
159,513.613,0.0414382,0.198244,0.000256972,0.158387,0.0887021,0.0568211,0.0887021,0.772875,0.0532258,0.198514,0.213106,0.0001,1e-05
160,516.864,0.0422699,0.199419,0.000269488,0.164857,0.0988607,0.0668193,0.0988607,0.817875,0.0409637,0.197261,0.174818,0.0001,1e-05
161,520.172,0.0396642,0.199009,0.000246778,0.153564,0.141883,0.100631,0.141883,0.826625,0.0479028,0.197846,0.196244,0.0001,1e-05
162,523.417,0.0405387,0.200714,0.000253258,0.159018,0.124806,0.0835097,0.124806,0.752375,0.0644149,0.19657,0.265258,0.0001,1e-05
163,526.728,0.0374477,0.199965,0.000254931,0.160464,0.129582,0.0959678,0.129582,0.82775,0.0469435,0.197505,0.190107,0.0001,1e-05
164,529.941,0.0363095,0.196425,0.000261619,0.145809,0.130837,0.0911467,0.130837,0.89125,0.0333518,0.200275,0.138485,0.0001,1e-05
165,533.239,0.0667319,0.190864,0.000246451,0.188659,0.131772,0.0787875,0.131772,0.82925,0.0383555,0.200662,0.173597,0.0001,1e-05
166,536.531,0.0455717,0.194458,0.000263567,0.163069,0.137826,0.0801052,0.137826,0.79275,0.0515391,0.201368,0.205627,0.0001,1e-05
